id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence
2SAqBLGA283SUiwJ3xOUVI,0.761,0.518,0.0,0.14785,1.0,0.134,0.244,3.47e-05,0.107,0.522
0qJeyYAgv6UpvewUxRXAhb,0.874,0.443,0.4166666666666667,0.16046666666666667,0.0,0.241,0.147,0.0,0.124,0.298
3GZd1aDsgKL71Kt3VIp0hc,0.614,0.553,0.5833333333333334,0.13708333333333333,1.0,0.169,0.0306,0.0,0.203,0.161
6nDSLDomNqfet6w0r1GHAz,0.881,0.517,0.3333333333333333,0.1486,1.0,0.308,0.0115,0.0,0.151,0.786
0PvFJmanyNQMseIFrU708S,0.823,0.586,0.5,0.1101,0.0,0.2,0.114,0.0,0.193,0.347
35RJhm1pEovTBwnNR0zWad,0.695,0.343,0.4166666666666667,0.17996666666666666,1.0,0.0432,0.0743,1.04e-06,0.107,0.229
2MbdDtCv5LUVjYy9RuGTgC,0.904,0.723,0.9166666666666666,0.08706666666666667,0.0,0.26,0.0631,0.0,0.185,0.835
4Oun2ylbjFKMPTiaSbbCih,0.935,0.454,0.08333333333333333,0.12515,1.0,0.375,0.0194,0.0,0.0824,0.357
6EDO9iiTtwNv6waLwa1UUq,0.8,0.56,0.4166666666666667,0.0803,0.0,0.261,0.057,0.0,0.134,0.45
2fZTS0VboxRpF0FdfY7E5P,0.747,0.622,0.9166666666666666,0.09708333333333334,1.0,0.0838,0.176,0.0,0.151,0.57
1H7KnK26kc1YyellpbINEn,0.49,0.618,0.08333333333333333,0.09425,1.0,0.104,0.0221,3.77e-06,0.259,0.286
02kDW379Yfd5PzW5A6vuGt,0.799,0.66,0.08333333333333333,0.10254999999999999,0.0,0.079,0.256,0.0,0.111,0.471
76MjtLfZoTNc3BDqUVjuRH,0.801,0.596,0.08333333333333333,0.07866666666666666,1.0,0.0534,0.00301,0.0,0.162,0.134
4Zjdzxx0dsavsr7Ehr8fGE,0.816,0.579,0.08333333333333333,0.10161666666666667,1.0,0.0867,0.203,0.0,0.127,0.43
7dmD4eaEb5UCBYcEJkLke9,0.877,0.607,0.8333333333333334,0.1303,0.0,0.15,0.535,0.0,0.138,0.773
2QqJTIlGKRLJC3onkavYEz,0.752,0.673,0.8333333333333334,0.09653333333333333,0.0,0.153,0.0538,0.0,0.133,0.35
06R3hA4D1jyj8f8untfQNB,0.863,0.626,0.5833333333333334,0.10533333333333333,1.0,0.359,0.00936,0.0,0.0946,0.705
5EzL7hGT9g2Tvqsy158Lu9,0.943,0.641,0.08333333333333333,0.0933,1.0,0.191,0.0016,0.0,0.211,0.242
3nS9a01VvXHQriLqJYwRqG,0.825,0.458,0.0,0.1245,1.0,0.0577,0.114,0.0,0.102,0.161
25zlnOAzbVoOzIeXSvQFf1,0.688,0.647,0.16666666666666666,0.12096666666666667,1.0,0.19,0.00815,1.65e-05,0.095,0.195
6gxKUmycQX7uyMwJcweFjp,0.926,0.542,0.08333333333333333,0.0844,1.0,0.293,0.135,0.0,0.0877,0.564
7ytR5pFWmSjzHJIeQkgog4,0.746,0.69,0.9166666666666666,0.1326,1.0,0.164,0.247,0.0,0.101,0.497
